"","target_pop","income_group","R0","Rt1","Rt2","timing1","timing2","ifr_scaling","coverage","efficacy_infection_v1","efficacy_disease_v1","efficacy_infection_v2","efficacy_disease_v2","vaccination_rate","duration_R","duration_V","dur_vacc_delay","seeding_cases","vaccine_1_start","vaccine_2_start","lower_priority","lower_vaccine","two_vaccines","runtime","contact_reduction","contact_reduction_cf","timing2_cf","X","vsl","w_le","vsly","gni","coi_1","coi_2","coi_3","infections","hospitalisations","deaths","yll","yll_prod","ifr","infections_cf","hospitalisations_cf","deaths_cf","yll_cf","yll_prod_cf","ifr_cf","infections_averted","hospitalisations_averted","cost_of_illness_averted","deaths_averted","deaths_averted_prop","years_life_saved","years_prod_saved","vsl_sum","prod_loss","detection_time_label","vaccine_start_label"
"1",1e+06,"HIC",2.5,1.1,2.5,30,81,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,30,130,14,4,1,500,45.36,33.6,60,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,764661.59,13646.52,1640.12,18913.54,2476.92,0.00214489654174993,809682.14,25385.1,4575.57,44670.29,2563.81,0.0056510694431274,45020.55,11738.58,88039.35,2935.45,0.64154848466967,25756.75,86.8899999999999,10891883595.71,4790680.14999999,"30 days","Sarbecovirus vaccine"
"2",1e+06,"HIC",2.5,1.1,2.5,30,181,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,130,14,4,0,500,101.36,33.6,60,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,677548.95,16161.89,2810.51,27792.94,1732.6,0.0041480545427751,809682.14,25385.1,4575.57,44670.29,2563.81,0.0056510694431274,132133.19,9223.21,69174.075,1765.06,0.385757402902808,16877.35,831.21,7137008031.062,45828763.35,"30 days","SARS-3 vaccine"
"3",1e+06,"HIC",2.5,1.1,2.5,60,111,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,60,160,14,4,1,500,62.16,50.4,90,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,747270.27,14502.21,1906.07,21116.59,2402.91,0.0025507103340268,796491.32,24754.7,4446.24,43463.34,2518.26,0.00558228305614178,49221.0499999999,10252.49,76893.675,2540.17,0.571307441793515,22346.75,115.35,9449880118.51,6359822.25000002,"60 days","Sarbecovirus vaccine"
"4",1e+06,"HIC",2.5,1.1,2.5,60,211,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,160,14,4,0,500,118.16,50.4,90,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,626922.05,15104.13,2585.24,25715.28,1671.93,0.00412370246029789,800706.44,24954.52,4487.13,43845.25,2532.81,0.00560396391966074,173784.39,9850.39,73877.925,1901.89,0.423854445937604,18129.97,860.88,7666709613.3524,47464618.8,"60 days","SARS-3 vaccine"
"5",1e+06,"HIC",2.5,1.1,2.5,90,141,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,90,190,14,4,1,500,78.96,67.2,120,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,643894.44,17686.94,3026.36,30118.18,1966.78,0.00470008717577993,617360.86,16794.04,2866.21,28549.82,1876.91,0.00464268175342376,-26533.58,-892.899999999998,-6696.74999999998,-160.15,-0.0558751801159022,-1568.36,-89.8699999999999,-663220109.5312,-4954982.44999999,"90 days","Sarbecovirus vaccine"
"6",1e+06,"HIC",2.5,1.1,2.5,90,241,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,190,14,4,0,500,134.96,67.2,120,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,634100.35,17375.55,2972.51,29583.66,1932.41,0.00468775959514925,650996.01,18052.79,3101.98,30822.15,1992.16,0.00476497544124733,16895.66,677.240000000002,5079.30000000001,129.47,0.0417378577553691,1238.49,59.75,523726359.670801,3294316.25,"90 days","SARS-3 vaccine"
"7",1e+06,"UMIC",2.5,1.1,2.5,30,62,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,30,130,14,4,1,500,34.72,33.6,60,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,757850.92,9632.42,1172.99,11325.79,1782.98,0.00154778462233707,788555.1,16928.67,3004.61,24406.93,1846.57,0.00381027273807499,30704.1799999999,7296.25,54721.875,1831.62,0.609603243016565,13081.14,63.5899999999999,1430841386.2914,1247254.26,"30 days","Sarbecovirus vaccine"
"8",1e+06,"UMIC",2.5,1.1,2.5,30,162,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,130,14,4,0,500,90.72,33.6,60,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,689558.23,11976.49,2098.62,17115.79,1328.07,0.00304342680385382,788555.1,16928.67,3004.61,24406.93,1846.57,0.00381027273807499,98996.87,4952.18,37141.35,905.99,0.301533310479563,7291.14,518.5,797519548.3914,10169859,"30 days","SARS-3 vaccine"
"9",1e+06,"UMIC",2.5,1.1,2.5,60,92,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,60,160,14,4,1,500,51.52,50.4,90,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,749600.95,10533.55,1424.78,13062.34,1754.65,0.00190071797534408,776968.13,16578.3,2937.48,23877.45,1813.69,0.00378069561231553,27367.1800000001,6044.75,45335.625,1512.7,0.514965208273758,10815.11,59.04,1182978470.1711,1158010.56,"60 days","Sarbecovirus vaccine"
"10",1e+06,"UMIC",2.5,1.1,2.5,60,192,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,160,14,4,0,500,107.52,50.4,90,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,643780.28,11365.28,1978.04,16177.09,1278.58,0.00307253897245812,776968.13,16578.3,2937.48,23877.45,1813.69,0.00378069561231553,133187.85,5213.02,39097.65,959.44,0.326620096136825,7700.36,535.11,842280854.5236,10495647.54,"60 days","SARS-3 vaccine"
"11",1e+06,"UMIC",2.5,1.1,2.5,90,122,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,90,190,14,4,1,500,68.32,67.2,120,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,592584.99,11108.75,1914.75,15722.14,1285.22,0.00323118207904659,575304.61,10835.11,1875.61,15372.62,1241.38,0.00326020332081121,-17280.38,-273.639999999999,-2052.3,-39.1400000000001,-0.0208678776504711,-349.519999999999,-43.8399999999999,-38231200.1351998,-859877.759999998,"90 days","Sarbecovirus vaccine"
"12",1e+06,"UMIC",2.5,1.1,2.5,90,222,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,190,14,4,0,500,124.32,67.2,120,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,547400.89,10113.57,1746.06,14322.78,1165.14,0.00318972809854219,574592.62,10818.41,1872.59,15348.26,1239.61,0.00325898721079989,27191.73,704.84,5286.3,126.53,0.0675695160179217,1025.48,74.4699999999998,112169063.6148,1460654.58,"90 days","SARS-3 vaccine"
"13",1e+06,"LMIC",2.5,1.1,2.5,30,43,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,30,130,14,4,1,500,24.08,33.6,60,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,864976.92,7571.51,663.45,6897.59,1634.37,0.00076701468520108,879934.38,11230.36,1466.15,12504.51,1660.24,0.0016662037912418,14957.46,3658.85,27441.375,802.7,0.547488319749002,5606.92,25.8700000000001,204213614.2332,202536.230000001,"30 days","Sarbecovirus vaccine"
"14",1e+06,"LMIC",2.5,1.1,2.5,30,143,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,130,14,4,0,500,80.08,33.6,60,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,824887.59,9356.91,1216.82,10388.59,1361.44,0.00147513432709056,879934.38,11230.36,1466.15,12504.51,1660.24,0.0016662037912418,55046.79,1873.45,14050.875,249.33,0.170057633939229,2115.92,298.8,77065424.6232,2339305.2,"30 days","SARS-3 vaccine"
"15",1e+06,"LMIC",2.5,1.1,2.5,60,73,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,60,160,14,4,1,500,40.88,50.4,90,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,865724.82,8607.84,890.19,8483.89,1635.65,0.00102825976503712,870510.89,11127.67,1453.04,12391.82,1642.07,0.00166918072673393,4786.07000000007,2519.83,18898.725,562.85,0.387360292903155,3907.93,6.41999999999985,142333493.1603,50262.1799999988,"60 days","Sarbecovirus vaccine"
"16",1e+06,"LMIC",2.5,1.1,2.5,60,173,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,160,14,4,0,500,96.88,50.4,90,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,796161.3,9680.97,1262.69,10771.49,1402.68,0.00158597259123246,869983.88,11121.9,1452.3,12385.49,1641.05,0.00166934127561076,73822.58,1440.93,10806.975,189.61,0.130558424567927,1614,238.37,58784639.94,1866198.73,"60 days","SARS-3 vaccine"
"17",1e+06,"LMIC",2.5,1.1,2.5,90,103,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,90,190,14,4,1,500,57.68,67.2,120,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,774976.59,9897.54,1279.54,10963.75,1457.55,0.00165106922778145,730404.48,9513.87,1244.71,10608.97,1371.18,0.00170413795928524,-44572.11,-383.67,-2877.525,-34.8299999999999,-0.027982421608246,-354.780000000001,-86.3699999999999,-12921694.2738,-676190.729999999,"90 days","Sarbecovirus vaccine"
"18",1e+06,"LMIC",2.5,1.1,2.5,90,203,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,190,14,4,0,500,113.68,67.2,120,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,718436.21,9370.61,1226.09,10450.01,1348.16,0.00170660941491242,725244.45,9452.35,1236.72,10540.72,1361.3,0.00170524572783701,6808.23999999999,81.7399999999998,613.049999999998,10.6300000000001,0.00859531664402622,90.7099999999991,13.1399999999999,3303813.31409997,102873.059999999,"90 days","SARS-3 vaccine"
"19",1e+06,"LIC",2.5,1.1,2.5,30,37,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,30,130,14,4,1,500,20.72,33.6,60,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,845099.14,5263.73,404.7,4364.14,1147.34,0.000478878726583487,853547.72,7125.33,781.61,6986.38,1156.99,0.000915719158619509,8448.57999999996,1861.6,13962,376.91,0.482222591829685,2622.24,9.65000000000009,6312387.24,19560.5500000002,"30 days","Sarbecovirus vaccine"
"20",1e+06,"LIC",2.5,1.1,2.5,30,137,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,130,14,4,0,500,76.72,33.6,60,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,805814.94,6023.13,657.03,5883.08,960.01,0.000815360906562492,853547.72,7125.33,781.61,6986.38,1156.99,0.000915719158619509,47732.78,1102.2,8266.5,124.58,0.159388953570195,1103.3,196.98,2655918.925,399278.46,"30 days","SARS-3 vaccine"
"21",1e+06,"LIC",2.5,1.1,2.5,60,67,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,60,160,14,4,1,500,37.52,50.4,90,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,845697.71,5953.74,543.77,5335.05,1148.15,0.000642983886050726,840153.6,7046.76,773.65,6913.59,1142.27,0.000920843521946463,-5544.10999999999,1093.02,8197.65,229.88,0.297136948232405,1578.54,-5.88000000000011,3799940.415,-11918.7600000002,"60 days","Sarbecovirus vaccine"
"22",1e+06,"LIC",2.5,1.1,2.5,60,167,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,160,14,4,0,500,93.52,50.4,90,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,766744.47,6210.46,682.55,6098.16,989.13,0.000890192269661886,840153.6,7046.76,773.65,6913.59,1142.27,0.000920843521946463,73409.13,836.3,6272.25,91.1,0.117753506107413,815.43,153.14,1962943.8675,310414.78,"60 days","SARS-3 vaccine"
"23",1e+06,"LIC",2.5,1.1,2.5,90,97,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,90,190,14,4,1,500,54.32,67.2,120,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,793033.32,6692.71,730.15,6549.38,1088.93,0.000920705324210085,706804.77,6186.74,685.69,6109.1,985.37,0.00097012644665655,-86228.5499999999,-505.97,-3794.775,-44.4599999999999,-0.064839796409456,-440.28,-103.56,-1059864.03,-209916.12,"90 days","Sarbecovirus vaccine"
"24",1e+06,"LIC",2.5,1.1,2.5,90,197,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,14,1,500,190,14,4,0,500,110.32,67.2,120,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,715966.05,6251.09,692.48,6170.48,996.73,0.000967196698782016,713121.68,6231,690.34,6151.22,993.2,0.000968053586591281,-2844.37,-20.0900000000001,-150.675000000001,-2.13999999999999,-0.00309992177767475,-19.2599999999993,-3.52999999999997,-46363.6349999983,-7155.30999999994,"90 days","SARS-3 vaccine"
