country,people per 100k population,Percent population
Burundi,0.57964431,0.000579644
Comoros,144.8186863,0.144818686
Djibouti,44.82033399,0.044820334
Eritrea,,
Ethiopia,120.2632369,0.120263237
Kenya,69.98445349,0.069984453
Madagascar,15.33240116,0.015332401
Malawi,19.10533632,0.019105336
Mauritius,421.5302108,0.421530211
Mozambique,225.6403855,0.225640386
Rwanda,364.3305629,0.364330563
Seychelles,488.8939823,0.488893982
Somalia,44.81510294,0.044815103
South Sudan,35.95186545,0.035951865
Uganda,137.0581512,0.137058151
Tanzania,35.94662123,0.035946621
Zambia,71.75190057,0.071751901
Zimbabwe,87.65418611,0.087654186
Angola,121.3890455,0.121389046
Cameroon,19.28349552,0.019283496
Central African Republic,87.9194293,0.087919429
Chad,357.087434,0.357087434
Congo,34.81532225,0.034815322
Democratic Republic of Congo,15.94553459,0.015945535
Equatorial Guinea,74.12623309,0.074126233
Gabon,50.93405436,0.050934054
Sao Tome and Principe,147.8143193,0.147814319
Botswana,257.9038902,0.25790389
Eswatini,148.5240612,0.148524061
Lesotho,241.1816171,0.241181617
Namibia,63.71303205,0.063713032
South Africa,148.8340531,0.148834053
Benin,149.5228964,0.149522896
Burkina Faso,46.95773091,0.046957731
Cabo Verde,,
Cote d'Ivoire,105.9090542,0.105909054
Gambia,50.39143691,0.050391437
Ghana,124.1620669,0.124162067
Guinea,93.25157457,0.093251575
Guinea-Bissau,118.9406772,0.118940677
Liberia,124.6041497,0.12460415
Mali,24.30392998,0.02430393
Mauritania,142.6689922,0.142668992
Niger,30.6654256,0.030665426
Nigeria,42.14122119,0.042141221
Senegal,19.61620449,0.019616204
Sierra Leone,98.41757302,0.098417573
Togo,70.70113814,0.070701138
Algeria,75.25994171,0.075259942
Egypt,177.190716,0.177190716
Libya,90.40184351,0.090401844
Morocco,253.7618078,0.253761808
Sudan,45.81898944,0.045818989
Tunisia,262.0337135,0.262033714
Armenia,184.5548892,0.184554889
Azerbaijan,220.8245261,0.220824526
Bahrain,348.159282,0.348159282
Cyprus,260.0051396,0.26000514
Georgia,154.4414999,0.1544415
Iraq,88.44324045,0.08844324
Israel,598.0913556,0.598091356
Jordan,173.1485753,0.173148575
Kuwait,287.5067928,0.287506793
Lebanon,106.3477222,0.106347722
Oman,388.2009664,0.388200966
Qatar,405.8419402,0.40584194
Saudi Arabia,258.5675428,0.258567543
Palestine,146.7750013,0.146775001
Syria,45.80237566,0.045802376
Turkey,277.2746792,0.277274679
United Arab Emirates,303.6223566,0.303622357
Yemen,5.41376495,0.005413765
Kazakhstan,216.4631026,0.216463103
Kyrgyzstan,78.17626863,0.078176269
Tajikistan,198.9674518,0.198967452
Turkmenistan,132.3732646,0.132373265
Uzbekistan,217.3489705,0.217348971
Afghanistan,58.81007586,0.058810076
Bangladesh,301.512403,0.301512403
Bhutan,269.7270973,0.269727097
India,212.1279841,0.212127984
Iran,485.3106244,0.485310624
Maldives,290.2762206,0.290276221
Nepal,255.2605363,0.255260536
Pakistan,199.2529716,0.199252972
Sri Lanka,542.9811973,0.542981197
China,399.2852997,0.3992853
Hong Kong,220.2847792,0.220284779
Macao,261.420476,0.261420476
Taiwan,390.8587472,0.390858747
North Korea,,
Japan,484.7429086,0.484742909
Mongolia,661.1967973,0.661196797
South Korea,454.2361026,0.454236103
Brunei,522.0479634,0.522047963
Cambodia,476.4223814,0.476422381
Indonesia,231.4235202,0.23142352
Laos,225.8252433,0.225825243
Malaysia,592.8885599,0.59288856
Myanmar,177.6879855,0.177687986
Philippines,252.9419732,0.252941973
Singapore,392.0197781,0.392019778
Thailand,389.2727378,0.389272738
Timor-Leste,,
Vietnam,551.2185524,0.551218552
Antigua and Barbuda,195.7357127,0.195735713
Aruba,346.3439027,0.346343903
Bahamas,161.7236591,0.161723659
Barbados,164.2156605,0.164215661
Cuba,471.0822639,0.471082264
Curacao,498.5100655,0.498510066
Dominican Republic,294.9834337,0.294983434
Grenada,117.2370886,0.117237089
Haiti,4.740560101,0.00474056
Jamaica,92.07542185,0.092075422
Puerto Rico,,
St Lucia,,
St Vincent and the Grenadines,,
Trinidad and Tobago,285.3454627,0.285345463
Virgin Islands US,,
Belize,248.061421,0.248061421
Costa Rica,284.9185856,0.284918586
El Salvador,332.9689092,0.332968909
Guatemala,152.9550343,0.152955034
Honduras,232.5936986,0.232593699
Mexico,226.0751542,0.226075154
Nicaragua,557.2429439,0.557242944
Panama,417.2504718,0.417250472
Argentina,316.1332288,0.316133229
Bolivia,175.8471135,0.175847114
Brazil,283.5831919,0.283583192
Chile,330.3460627,0.330346063
Colombia,250.9702428,0.250970243
Ecuador,378.8868157,0.378886816
Guyana,150.4833933,0.150483393
Paraguay,218.3683805,0.218368381
Peru,307.6338013,0.307633801
Suriname,196.9614395,0.19696144
Uruguay,476.3878055,0.476387806
Venezuela,286.6590149,0.286659015
Australia,404.5925246,0.404592525
New Zealand,466.643606,0.466643606
Fiji,384.7346623,0.384734662
New Caledonia,237.7386142,0.237738614
Papua New Guinea,16.16206476,0.016162065
Solomon Islands,99.71391974,0.09971392
Vanuatu,149.5212776,0.149521278
Guam,,
Kiribati,235.610007,0.235610007
Micronesia,,
French Polynesia,229.9270814,0.229927081
Samoa,249.7347245,0.249734725
Tonga,220.7852765,0.220785277
Belarus,198.5490591,0.198549059
Bulgaria,87.29022942,0.087290229
Czechia,308.2862114,0.308286211
Hungary,408.3754894,0.408375489
Poland,290.5534071,0.290553407
Moldova,108.9147458,0.108914746
Romania,107.1998772,0.107199877
Russia,164.9413079,0.164941308
Slovakia,219.8487738,0.219848774
Ukraine,166.4357915,0.166435792
Channel Islands,,
Denmark,444.2038932,0.444203893
Estonia,250.4219211,0.250421921
Finland,327.0800889,0.327080089
Iceland,626.7736377,0.626773638
Ireland,437.4604322,0.437460432
Latvia,244.3308742,0.244330874
Lithuania,291.9188317,0.291918832
Norway,361.614116,0.361614116
Sweden,342.2405178,0.342240518
United Kingdom,310.2330171,0.310233017
Albania,122.1650582,0.122165058
Andorra,322.6225172,0.322622517
Bosnia and Herzegovina,119.5502118,0.119550212
Croatia,187.7580676,0.187758068
Greece,278.2688303,0.27826883
Italy,365.7757099,0.36577571
Malta,540.9689394,0.540968939
Montenegro,179.2743846,0.179274385
North Macedonia,232.1423726,0.232142373
Portugal,470.7257239,0.470725724
Serbia,170.5138301,0.17051383
Slovenia,240.4382568,0.240438257
Spain,442.3816573,0.442381657
Austria,322.1510084,0.322151008
Belgium,457.0269039,0.457026904
France,381.3620895,0.38136209
Germany,358.5800492,0.358580049
Luxembourg,193.9441603,0.19394416
Monaco,288.4914144,0.288491414
Netherlands,449.9931716,0.449993172
Switzerland,307.5321312,0.307532131
Canada,437.849652,0.437849652
United States,266.001078,0.266001078
