"","UMIC","HIC","LMIC","LIC","age_group"
"1",29.8075983270032,30.3805857722934,28.7330488437858,27.8403530739023,"0-5"
"2",29.3650875219834,30.0099899396769,28.4528915183723,28.0003427901964,"5-10"
"3",28.7330488437858,29.4806674970712,27.8403530739023,27.3310054933861,"10-15"
"4",28.0003427901964,28.8670377124134,26.9654637279333,26.5776604689644,"15-20"
"5",27.3310054933861,28.1556726118412,25.9512271912701,25.5016569272184,"20-25"
"6",26.3749902830334,27.3310054933861,25.024707834086,24.5187125411819,"25-30"
"7",25.266706635035,26.3749902830334,23.7013591989881,23.1147719742064,"30-35"
"8",23.9819021349399,25.266706635035,22.4924615874356,21.8322524981104,"35-40"
"9",22.8082151334326,24.2542739174173,20.7657917755027,20.3887655287678,"40-45"
"10",21.1318366752454,22.8082151334326,19.1884545899539,18.7641082276525,"45-50"
"11",19.1884545899539,21.1318366752454,17.413147691278,16.9355421220164,"50-55"
"12",17.413147691278,19.6004413494698,15.4150241363646,14.8774748604555,"55-60"
"13",15.4150241363646,17.413147691278,13.166118471841,13.166118471841,"60-65"
"14",13.166118471841,15.4150241363646,11.2960731393794,10.6349553335607,"65-70"
"15",11.2960731393794,13.166118471841,9.25262411337459,9.25262411337459,"70-75"
"16",9.25262411337459,10.6349553335607,7.7861089218791,7.01969218953548,"75-80"
"17",5.41719144387819,7.01969218953548,5.41719144387819,5.41719144387819,"80+"
